id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1296488680652242955,1296488680652242955,1597941963000,2020-08-20,16:46:03,UTC,1178536550143086593,blklaunch,Tye Calloway,,@Relomove app mock-up. MVP almost completed. Found a few full stack devs as cofounders who are going to build the final product. Survey is 98% identified relocating as a pain and love the idea of a relocation community. Stay tuned 🏡🚛 #startups #VentureCapital #relocation pic.twitter.com/7LT3rZPXuf,['relomove'],[],[],0,0,1,"['#startups', '#venturecapital', '#relocation']",[],https://twitter.com/blklaunch/status/1296488680652242955,False,,1,,,,,,,"[{'user_id': '1178536550143086593', 'username': 'blklaunch'}, {'user_id': '1282419551611887616', 'username': 'Relomove'}]",,,,
1296488401638752257,1296483228354838528,1597941897000,2020-08-20,16:44:57,UTC,262528164,reecejorgensen,Reece Jorgensen,,"Here’s an idea, how about a commitment to access up to $200 million to support the startup and continued improvement of remote and Hybrid learning opportunities for this year and a commitment to fund as needed #bced untill we can return to classes as normal based on safety 1st",['jjhorgan'],[],[],0,0,1,['#bced'],[],https://twitter.com/reecejorgensen/status/1296488401638752257,False,,0,,,,,,,"[{'user_id': '262528164', 'username': 'reecejorgensen'}, {'user_id': '232427887', 'username': 'jjhorgan'}]",,,,
1296488326296469504,1296488326296469504,1597941879000,2020-08-20,16:44:39,UTC,264386152,tracyeobrien,Tracy O'Brien,,"Startup idea: 

a hotline where you complain about your medical problems for fifteen minutes and a nice lady makes sympathetic noises, but when you’re done, she just yells “THAT’S NOT HOW CONTITIONAL PROBABILITY WORKS” and hangs up on you",[],[],[],1,0,3,[],[],https://twitter.com/TracyEOBrien/status/1296488326296469504,False,,0,,,,,,,"[{'user_id': '264386152', 'username': 'TracyEOBrien'}]",,,,
1296488116728078340,1296488116728078340,1597941829000,2020-08-20,16:43:49,UTC,829482367987249153,okrfinancial,OKR Financial,,"How to think about your startup idea and the way to approach raising #capital and hitting your goals. 
On Thursday, August 27th we will be in the panel with @valhallacap and @okcolab, for a panel discussion on Alternative Avenues for #RaisingMoney #cdntech https://bit.ly/3iYk4zD ","['valhallacap', 'okcolab']",['https://bit.ly/3iYk4zD'],[],0,0,0,"['#capital', '#raisingmoney', '#cdntech']",[],https://twitter.com/okrfinancial/status/1296488116728078340,False,,0,,,,,,,"[{'user_id': '829482367987249153', 'username': 'okrfinancial'}, {'user_id': '879060979077836800', 'username': 'valhallacap'}, {'user_id': '282724475', 'username': 'okcolab'}]",,,,
1296487196472614914,1296487196472614914,1597941609000,2020-08-20,16:40:09,UTC,1124007262450790400,ifundwinrock,I-Fund,,"Is the I-Fund right for you? The I-Fund works with very early stage companies that need validation, including pre-revenue startups and entrepreneurs still in the idea stage. 
 https://www.ifundatwinrock.com/ 
c: @WinrockIntl pic.twitter.com/UnWJIInyvk",['winrockintl'],['https://www.ifundatwinrock.com/'],['https://pbs.twimg.com/media/Ef4MPCHXoAAHyiX.jpg'],0,0,0,[],[],https://twitter.com/IFundWinrock/status/1296487196472614914,False,,0,,,,,,,"[{'user_id': '1124007262450790400', 'username': 'IFundWinrock'}, {'user_id': '52199699', 'username': 'WinrockIntl'}]",,,,
1296486712953188355,1296486712953188355,1597941494000,2020-08-20,16:38:14,UTC,570825874,simonwhite87,Simon White,,"Nothing says ""I have no idea how to sell to startup founders"" like a full page cold email.",[],[],[],1,0,2,[],[],https://twitter.com/simonwhite87/status/1296486712953188355,False,,0,,,,,,,"[{'user_id': '570825874', 'username': 'simonwhite87'}]",,,,
1296485761550876678,1296485761550876678,1597941267000,2020-08-20,16:34:27,UTC,313703088,adamceresko,Adam J. Ceresko 🦈,,"Do bigger companies fail to innovate because everyone becomes calendar/meeting driven and the thought of blocking off multi-hours to jam on an idea seems insane?

This is the default in startup world.",[],[],[],1,0,2,[],[],https://twitter.com/adamceresko/status/1296485761550876678,False,,0,,,,,,,"[{'user_id': '313703088', 'username': 'adamceresko'}]",,,,
1296484871456661508,1296484871456661508,1597941055000,2020-08-20,16:30:55,UTC,126776391,work_matters,Bob Sutton,,"Starts in 30 minutes! I remember my first conversation with @johnlilly when he was CEO of a startup called Reactivity, 1997 or so. He is smarter, more modest, and more creative than most founders. He has cool ideas about randomness, cadence, much more.   https://learn.stanford.edu/company-culture-wbn.html …",['johnlilly'],['https://learn.stanford.edu/company-culture-wbn.html'],[],1,1,9,[],[],https://twitter.com/work_matters/status/1296484871456661508,False,,0,,,,,,,"[{'user_id': '126776391', 'username': 'work_matters'}, {'user_id': '27117370', 'username': 'JohnLilly'}]",,,,
1296484164741541890,1296484164741541890,1597940887000,2020-08-20,16:28:07,UTC,1268105452291833857,alcor_fund,Alcor Fund,,"Finding #investors for funding is not the hard part. It's having a quality idea & strong #Pitch that seize investor funds
When looking to raise #money, analyze your #startup by 50+ detailed parameters w/ our #VentureCapital reports ➡️  https://bit.ly/2WuRHjS 
#Entrepreneurship pic.twitter.com/thBWILhewh",[],['https://bit.ly/2WuRHjS'],['https://pbs.twimg.com/media/Ef4F4FfXgAE8LpC.jpg'],0,1,0,"['#investors', '#pitch', '#money', '#startup', '#venturecapital', '#entrepreneurship']",[],https://twitter.com/alcor_fund/status/1296484164741541890,False,,0,,,,,,,"[{'user_id': '1268105452291833857', 'username': 'alcor_fund'}]",,,,
1296484148224364544,1296484148224364544,1597940883000,2020-08-20,16:28:03,UTC,2214703082,bizcoordinator,Rebecca England,,"Will your idea work? 💡

Test your business with this stand-up technique in this simple step-by-step video! 

 https://buff.ly/2ASRDmc 
#entrepreneur #startup  pic.twitter.com/Gk3vusSDsQ",[],['https://buff.ly/2ASRDmc'],['https://pbs.twimg.com/media/Ef4JdgnWsAEcmAa.jpg'],0,0,0,"['#entrepreneur', '#startup']",[],https://twitter.com/bizcoordinator/status/1296484148224364544,False,,0,,,,,,,"[{'user_id': '2214703082', 'username': 'bizcoordinator'}]",,,,
